Checked by|Manual Check|REASON|pass_checks2|duplicated|file_name
NC|EXCLUDE|Not ACRES town|FALSE|FALSE|cambridgeurl9.json
NC|INCLUDE||FALSE|FALSE|chelseaurl1.json
NC|INCLUDE||TRUE|TRUE|chelseaurl10.json
NC|INCLUDE||TRUE|TRUE|chelseaurl11.json
|||FALSE|TRUE|chelseaurl12.json
NC|EXCLUDE|Not ACRES town, all MA|FALSE|FALSE|chelseaurl13.json
|||FALSE|FALSE|chelseaurl14.json
NC|INCLUDE|Covers all port areas in Boston, including Mystic|TRUE|TRUE|chelseaurl16.json
NC|INCLUDE||TRUE|TRUE|chelseaurl17.json
NC|INCLUDE||TRUE|TRUE|chelseaurl18.json
|||FALSE|TRUE|chelseaurl19.json
NC|INCLUDE||TRUE|FALSE|chelseaurl2.json
NC|INCLUDE||TRUE|TRUE|chelseaurl20.json
NC|INCLUDE||TRUE|FALSE|chelseaurl21.json
NC|INCLUDE||TRUE|TRUE|chelseaurl22.json
NC|INCLUDE||TRUE|TRUE|chelseaurl23.json
|||FALSE|TRUE|chelseaurl24.json
NC|INCLUDE||TRUE|FALSE|chelseaurl25.json
NC|EXCLUDE||TRUE|TRUE|chelseaurl26.json
|||FALSE|TRUE|chelseaurl27.json
CM|EXCLUDE|Not town-specific|TRUE|TRUE|chelseaurl28.json
NC|EXCLUDE|off-topic|TRUE|FALSE|chelseaurl29.json
NC|INCLUDE||TRUE|FALSE|chelseaurl3.json
|||FALSE|TRUE|chelseaurl30.json
|||FALSE|FALSE|chelseaurl31.json
|||FALSE|FALSE|chelseaurl32.json
NC|INCLDUE||TRUE|TRUE|chelseaurl35.json
NC|EXCLUDE|Not ACRES town (all East Coast)|TRUE|TRUE|chelseaurl36.json
NC|EXCLUDE|Not ACRES town (all MA)|TRUE|FALSE|chelseaurl37.json
|||FALSE|TRUE|chelseaurl38.json
|||FALSE|FALSE|chelseaurl39.json
NC|INCLUDE||TRUE|TRUE|chelseaurl4.json
NC|INCLUDE||TRUE|TRUE|chelseaurl40.json
NC|EXCLUDE|Off-topic; planning permit|TRUE|TRUE|chelseaurl41.json
NC|INCLUDE||TRUE|FALSE|chelseaurl42.json
|||FALSE|TRUE|chelseaurl43.json
NC|INCLUDE||TRUE|FALSE|chelseaurl45.json
