file_name|most_common_town|is_INNER_CORE|is_ACRES_town|duplicated|is_MASS|has_climate|has_community
bostonurl60.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl62.json|newburyport|FALSE|FALSE|FALSE|TRUE|1|1
bostonurl63.json|washington|FALSE|FALSE|FALSE|FALSE|1|1
bostonurl64.json|shirley|FALSE|FALSE|FALSE|TRUE|1|1
bostonurl65.json|washington|FALSE|FALSE|FALSE|FALSE|1|1
bostonurl66.json|washington|FALSE|FALSE|TRUE|FALSE|1|1
bostonurl67.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl68.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl69.json|boston|TRUE|FALSE|TRUE|TRUE|1|0
bostonurl7.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl70.json|natick|FALSE|FALSE|FALSE|TRUE|1|1
bostonurl71.json|springfield|FALSE|FALSE|FALSE|TRUE|1|1
bostonurl72.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl73.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
bostonurl74.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl75.json|boston|TRUE|FALSE|FALSE|TRUE|0|1
bostonurl76.json|None|FALSE|FALSE|FALSE|FALSE|0|0
bostonurl77.json|springfield|FALSE|FALSE|FALSE|TRUE|1|1
bostonurl78.json|boston|TRUE|FALSE|TRUE|TRUE|1|1
bostonurl79.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
bostonurl8.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
bostonurl80.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
bostonurl81.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
bostonurl82.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl83.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl84.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl85.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
bostonurl86.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl87.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl88.json|washington|FALSE|FALSE|FALSE|FALSE|1|1
bostonurl89.json|worcester|FALSE|FALSE|FALSE|TRUE|1|1
bostonurl9.json|cambridge|TRUE|TRUE|FALSE|TRUE|1|1
brooklineurl1.json|brookline|TRUE|FALSE|TRUE|TRUE|1|1
brooklineurl10.json|brookline|TRUE|FALSE|FALSE|TRUE|0|1
brooklineurl11.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
brooklineurl12.json|everett|TRUE|TRUE|TRUE|TRUE|1|1
brooklineurl14.json|boston|TRUE|FALSE|TRUE|TRUE|1|1
brooklineurl15.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
brooklineurl16.json|boston|TRUE|FALSE|TRUE|TRUE|0|1
brooklineurl17.json|quincy|TRUE|FALSE|TRUE|TRUE|1|1
brooklineurl18.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
brooklineurl19.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
brooklineurl2.json|boston|TRUE|FALSE|TRUE|FALSE|1|1
brooklineurl20.json|boston|TRUE|FALSE|TRUE|FALSE|1|1
brooklineurl22.json|oak bluffs|FALSE|FALSE|FALSE|TRUE|1|1
brooklineurl23.json|rowley|FALSE|FALSE|FALSE|TRUE|1|1
brooklineurl25.json|norfolk|FALSE|FALSE|FALSE|TRUE|0|1
brooklineurl26.json|harvard|FALSE|FALSE|FALSE|FALSE|0|1
brooklineurl27.json|cambridge|TRUE|TRUE|TRUE|FALSE|0|0
brooklineurl28.json|boston|TRUE|FALSE|FALSE|TRUE|1|0
brooklineurl29.json|dunstable|FALSE|FALSE|FALSE|TRUE|1|1
brooklineurl3.json|cambridge|TRUE|TRUE|TRUE|TRUE|1|1
brooklineurl30.json|pittsfield|FALSE|FALSE|FALSE|TRUE|1|1
brooklineurl31.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
brooklineurl32.json|windsor|FALSE|FALSE|FALSE|FALSE|1|1
brooklineurl33.json|boston|TRUE|FALSE|TRUE|TRUE|1|1
brooklineurl34.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
brooklineurl35.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
brooklineurl37.json|hudson|FALSE|FALSE|FALSE|FALSE|1|1
